Quarter,Netflix Revenue $M,Netflix Subs M,Sub Increase Q2Q M,Rev Increase Q2Q ,Sub Increase Q2Q % $M,Rev Increase Q2Q,Price Hike for at least 1 plan,Stock Price at Close,NASDAQ Price at Close,Netflix Stock Change Q2Q,NASDAQ Change Q2Q,Netflix Stock Change Q2Q %,NASDAQ Change Q2Q %
16Q1,1813,77.71,#N/A,#N/A,#N/A,#N/A,FALSE,102.230003,4869.850098,#N/A,#N/A,#N/A,#N/A
16Q2,1966,79.9,2.19,153,8.44%,2.82%,TRUE,91.480003,4842.669922,-10.75,-27.180176,-0.11,-0.01
16Q3,2158,83.28,3.38,192,9.77%,4.23%,FALSE,98.550003,5312,7.07,469.330078,0.08,0.10
16Q4,2478,89.09,5.81,320,14.83%,6.98%,FALSE,123.800003,5383.120117,25.25,71.120117,0.26,0.01
17Q1,2637,94.36,5.27,159,6.42%,5.92%,FALSE,147.809998,5911.740234,24.009995,528.620117,0.19,0.10
17Q2,2785,99.04,4.68,148,5.61%,4.96%,FALSE,149.410004,6140.419922,1.600006,228.679688,0.01,0.04
17Q3,2985,104.02,4.98,200,7.18%,5.03%,FALSE,181.350006,6495.959961,31.940002,355.540039,0.21,0.06
17Q4,3180,110.64,6.62,195,6.53%,6.36%,TRUE,191.960007,6903.390137,10.610001,407.430176,0.06,0.06
18Q1,3602,118.91,8.27,422,13.27%,7.47%,FALSE,295.350006,7063.450195,103.389999,160.060058,0.54,0.02
18Q2,3814,124.35,5.44,212,5.89%,4.57%,FALSE,391.429993,7510.299805,96.079987,446.84961,0.33,0.06
18Q3,3910,130.42,6.07,96,2.52%,4.88%,FALSE,374.130005,8046.350098,-17.299988,536.050293,-0.04,0.07
18Q4,4102,139.26,8.84,192,4.91%,6.78%,FALSE,267.660004,6635.279785,-106.470001,-1411.070313,-0.28,-0.18
19Q1,4441,148.86,9.6,339,8.26%,6.89%,FALSE,356.559998,7729.319824,88.899994,1094.040039,0.33,0.16
19Q2,4847,151.56,2.7,406,9.14%,1.81%,TRUE,367.320007,8006.240234,10.760009,276.92041,0.03,0.04
19Q3,5173,158.33,6.77,326,6.73%,4.47%,FALSE,267.619995,7999.339844,-99.700012,-6.90039,-0.27,0.00
19Q4,5399,167.09,8.76,226,4.37%,5.53%,FALSE,323.570007,8972.599609,55.950012,973.259765,0.21,0.12
20Q1,5768,182.86,15.77,369,6.83%,9.44%,FALSE,375.5,7700.100098,51.929993,-1272.499511,0.16,-0.14
20Q2,6148,192.95,10.09,380,6.59%,5.52%,FALSE,455.040009,10058.76953,79.540009,2358.669433,0.21,0.31
20Q3,6436,195.15,2.2,288,4.68%,1.14%,FALSE,500.029999,11167.50977,44.98999,1108.740235,0.10,0.11
20Q4,6644,203.66,8.51,208,3.23%,4.36%,TRUE,540.72998,12888.28027,40.699981,1720.770507,0.08,0.15
21Q1,7163,207.64,3.98,519,7.81%,1.95%,FALSE,521.659973,13246.87012,-19.070007,358.589844,-0.04,0.03
21Q2,7342,209.18,1.54,179,2.50%,0.74%,FALSE,528.210022,14503.9502,6.550049,1257.080078,0.01,0.09
21Q3,7483,213.56,4.38,141,1.92%,2.09%,FALSE,610.340027,14448.58008,82.130005,-55.370117,0.16,0.00
21Q4,7709,221.84,8.28,226,3.02%,3.88%,FALSE,602.440002,15644.96973,-7.900025,1196.389649,-0.01,0.08
22Q1,7868,221.64,-0.2,159,2.06%,-0.09%,TRUE,374.589996,14220.51953,-227.850006,-1424.450196,-0.38,-0.09
22Q2,7970,220.67,-0.97,102,1.30%,-0.44%,FALSE,174.869995,11028.74023,-199.720001,-3191.779297,-0.53,-0.22
22Q3,7926,223.09,2.42,-44,-0.55%,1.10%,FALSE,235.440002,10575.62012,60.570007,-453.120117,0.35,-0.04
22Q4,7852,230.75,7.66,-74,-0.93%,3.43%,FALSE,294.880005,10466.48047,59.440003,-109.139648,0.25,-0.01
23Q1,8162,232.5,1.75,310,3.95%,0.76%,FALSE,345.480011,12221.91016,50.600006,1755.429687,0.17,0.17
23Q2,8187,238.39,5.89,25,0.31%,2.53%,FALSE,440.48999,13787.91992,95.009979,1566.009766,0.28,0.13
23Q3,8542,247.15,8.76,355,4.34%,3.67%,FALSE,377.600006,13219.32031,-62.889984,-568.599609,-0.14,-0.04
23Q4,8833,260.28,13.13,291,5.31%,3.41%,TRUE,486.880005,15011.34961,109.279999,1792.029296,0.29,0.14
