Quarter,Netflix Revenue $M,Netflix Subs M,Sub Increase Q2Q M,Rev Increase Q2Q ,Sub Increase Q2Q % $M,Rev Increase Q2Q,Price Hike for at least 1 plan
16Q1,1813,77.71,#N/A,#N/A,#N/A,#N/A,FALSE
16Q2,1966,79.9,2.19,153,8.44%,2.82%,TRUE
16Q3,2158,83.28,3.38,192,9.77%,4.23%,FALSE
16Q4,2478,89.09,5.81,320,14.83%,6.98%,FALSE
17Q1,2637,94.36,5.27,159,6.42%,5.92%,FALSE
17Q2,2785,99.04,4.68,148,5.61%,4.96%,FALSE
17Q3,2985,104.02,4.98,200,7.18%,5.03%,FALSE
17Q4,3180,110.64,6.62,195,6.53%,6.36%,TRUE
18Q1,3602,118.91,8.27,422,13.27%,7.47%,FALSE
18Q2,3814,124.35,5.44,212,5.89%,4.57%,FALSE
18Q3,3910,130.42,6.07,96,2.52%,4.88%,FALSE
18Q4,4102,139.26,8.84,192,4.91%,6.78%,FALSE
19Q1,4441,148.86,9.6,339,8.26%,6.89%,FALSE
19Q2,4847,151.56,2.7,406,9.14%,1.81%,TRUE
19Q3,5173,158.33,6.77,326,6.73%,4.47%,FALSE
19Q4,5399,167.09,8.76,226,4.37%,5.53%,FALSE
20Q1,5768,182.86,15.77,369,6.83%,9.44%,FALSE
20Q2,6148,192.95,10.09,380,6.59%,5.52%,FALSE
20Q3,6436,195.15,2.2,288,4.68%,1.14%,FALSE
20Q4,6644,203.66,8.51,208,3.23%,4.36%,TRUE
21Q1,7163,207.64,3.98,519,7.81%,1.95%,FALSE
21Q2,7342,209.18,1.54,179,2.50%,0.74%,FALSE
21Q3,7483,213.56,4.38,141,1.92%,2.09%,FALSE
21Q4,7709,221.84,8.28,226,3.02%,3.88%,FALSE
22Q1,7868,221.64,-0.2,159,2.06%,-0.09%,TRUE
22Q2,7970,220.67,-0.97,102,1.30%,-0.44%,FALSE
22Q3,7926,223.09,2.42,-44,-0.55%,1.10%,FALSE
22Q4,7852,230.75,7.66,-74,-0.93%,3.43%,FALSE
23Q1,8162,232.5,1.75,310,3.95%,0.76%,FALSE
23Q2,8187,238.39,5.89,25,0.31%,2.53%,FALSE
23Q3,8542,247.15,8.76,355,4.34%,3.67%,FALSE
23Q4,8833,260.28,13.13,291,5.31%,3.41%,TRUE
